source,pt_PT
Tax detail table fetched from item master as a string and stored in this field.|||Used for Taxes and Charges,Tabela de detalhes de impostos obtida do cadastro de itens como uma string e armazenada neste campo.|||Usada para Impostos e Encargos
Tax withheld only for amount exceeding cumulative threshold,Imposto retido apenas para valor que exceda o limite cumulativo
Taxable Date,Data tributável
Taxable Document Name,Nome do Documento Tributável
Taxable Document Type,Tipo de documento tributável
Taxes and Charges,Impostos e Taxas
Taxes and Charges Added,Impostos e Taxas Adicionadas
Taxes and Charges Added (Company Currency),Impostos e encargos adicionados (moeda da empresa)
Taxes and Charges Calculation,Cálculo de Impostos e Taxas
Taxes and Charges Deducted,Impostos e encargos deduzidos
Taxes and Charges Deducted (Company Currency),Impostos e encargos deduzidos (moeda da empresa)
Taxes row #{0}: {1} cannot be smaller than {2},Linha de impostos nº{0}: {1} não pode ser menor que {2}
Team,Equipe
Team Member,Membro da equipe
Telephony,Telefonia
Telephony Call Type,Tipo de chamada telefônica
Template,Modelo
Template Item,Item de modelo
Template Item Selected,Item de modelo selecionado
Template Name,Nome do modelo
Template Task,Tarefa de modelo
Template Title,Título do modelo
Temporary Opening Account,Conta de abertura temporária
Term Details,Detalhes do prazo
Terms,Termos
Terms & Conditions,Termos e Condições
Terms Template,Modelo de termos
Terms and Conditions Content,Conteúdo dos Termos e Condições
Terms and Conditions Details,Detalhes dos Termos e Condições
Terms and Conditions Help,Ajuda sobre Termos e Condições
Territory Item,Item de território
Territory Manager,Gerente de Território
Territory Name,Nome do Território
Territory Targets,Alvos territoriais
"Text displayed on the financial statement (e.g., 'Total Revenue', 'Cash and Cash Equivalents')","Texto exibido nas demonstrações financeiras (por exemplo, 'Receita Total', 'Caixa e Equivalentes de Caixa')"
The 'From Package No.' field must neither be empty nor it's value less than 1.,O 'No. do pacote' o campo não deve estar vazio nem ter valor menor que 1.
The BOM which will be replaced,A lista técnica que será substituída
"The Batch {0} has negative batch quantity {1}. To fix this, go to the batch and click on Recalculate Batch Qty. If the issue still persists, create an inward entry.","O Lote {0} tem quantidade de lote negativa {1}. Para corrigir isso, vá até o lote e clique em Recalcular quantidade do lote. Se o problema persistir, crie uma entrada interna."
The Campaign '{0}' already exists for the {1} '{2}',A campanha '{0}' já existe para {1} '{2}'
The Company {0} of Sales Forecast {1} does not match with the Company {2} of Master Production Schedule {3}.,A Empresa {0} da Previsão de Vendas {1} não corresponde à Empresa {2} do Programa Mestre de Produção {3}.
The Condition '{0}' is invalid,A condição '{0}' é inválida
The Document Type {0} must have a Status field to configure Service Level Agreement,O Tipo de Documento {0} deve ter um campo Status para configurar o Acordo de Nível de Serviço
The Excluded Fee is bigger than the Deposit it is deducted from.,A Taxa Excluída é maior do que o Depósito do qual é deduzida.
"The GL Entries and closing balances will be processed in the background, it can take a few minutes.","Os lançamentos contábeis e os saldos finais serão processados ​​em segundo plano, o que pode levar alguns minutos."
"The GL Entries will be cancelled in the background, it can take a few minutes.","As entradas GL serão canceladas em segundo plano, o que pode levar alguns minutos."
"The Payment Request {0} is already paid, cannot process payment twice","A solicitação de pagamento {0} já foi paga, não é possível processar o pagamento duas vezes"
"The Pick List having Stock Reservation Entries cannot be updated. If you need to make changes, we recommend canceling the existing Stock Reservation Entries before updating the Pick List.","A Lista de Pick com Entradas de Reserva de Estoque não pode ser atualizada. Se precisar fazer alterações, recomendamos cancelar os lançamentos de reserva de estoque existentes antes de atualizar a lista de seleção."
The Process Loss Qty has reset as per job cards Process Loss Qty,A Quantidade de Perda de Processo foi redefinida de acordo com os cartões de trabalho Quantidade de Perda de Processo
The Sales Person is linked with {0},O vendedor está vinculado a {0}
The Serial No at Row #{0}: {1} is not available in warehouse {2}.,O número de série na linha #{0}: {1} não está disponível no armazém {2}.
The Serial No {0} is reserved against the {1} {2} and cannot be used for any other transaction.,O número de série {0} é reservado para {1} {2} e não pode ser usado para nenhuma outra transação.
The Serial and Batch Bundle {0} is not valid for this transaction. The 'Type of Transaction' should be 'Outward' instead of 'Inward' in Serial and Batch Bundle {0},O pacote serial e em lote {0} não é válido para esta transação. O 'Tipo de transação' deve ser 'Saída' em vez de 'Entrada' no pacote serial e em lote {0}
"The Stock Entry of type 'Manufacture' is known as backflush. Raw materials being consumed to manufacture finished goods is known as backflushing. <br><br> When creating Manufacture Entry, raw-material items are backflushed based on BOM of production item. If you want raw-material items to be backflushed based on Material Transfer entry made against that Work Order instead, then you can set it under this field.","O lançamento de estoque do tipo ‘Fabricação’ é conhecido como backflush. As matérias-primas consumidas para fabricar produtos acabados são conhecidas como backflushing. <br><br> Ao criar Entrada de Fabricação, os itens de matéria-prima são confirmados com base na lista técnica do item de produção. Se desejar que os itens de matéria-prima sejam submetidos a backflushing com base na entrada de transferência de material feita nessa ordem de serviço, você poderá defini-lo neste campo."
"The account head under Liability or Equity, in which Profit/Loss will be booked","O cabeçalho da conta em Passivo ou Patrimônio Líquido, no qual os Lucros/Perdas serão contabilizados"
The allocated amount is greater than the outstanding amount of Payment Request {0},O valor alocado é maior que o valor pendente da Solicitação de Pagamento {0}
The amount of {0} set in this payment request is different from the calculated amount of all payment plans: {1}. Make sure this is correct before submitting the document.,O valor de {0} definido nesta solicitação de pagamento é diferente do valor calculado de todos os planos de pagamento: {1}. Certifique-se de que isso esteja correto antes de enviar o documento.
"The batch {0} is already reserved in {1} {2}. So, cannot proceed with the {3} {4}, which is created against the {5} {6}.","O lote {0} já está reservado em {1} {2}. Portanto, não é possível prosseguir com o {3} {4}, que é criado em relação ao {5} {6}."
The company {0} is not in South Africa. VAT Audit Report is only available for companies in South Africa.,A empresa {0} não está na África do Sul. O Relatório de Auditoria do IVA está disponível apenas para empresas na África do Sul.
The completed quantity {0} of an operation {1} cannot be greater than the completed quantity {2} of a previous operation {3}.,A quantidade concluída {0} de uma operação {1} não pode ser maior que a quantidade concluída {2} de uma operação anterior {3}.
The currency of invoice {} ({}) is different from the currency of this dunning ({}).,A moeda da fatura {} ({}) é diferente da moeda desta cobrança ({}).
The current POS opening entry is outdated. Please close it and create a new one.,A entrada atual de abertura do POS está desatualizada. Feche-o e crie um novo.
The default BOM for that item will be fetched by the system. You can also change the BOM.,A lista técnica padrão desse item será buscada pelo sistema. Você também pode alterar a lista técnica.
The difference between from time and To Time must be a multiple of Appointment,A diferença entre o horário inicial e o horário final deve ser um múltiplo do horário marcado
The field {0} in row {1} is not set,O campo {0} na linha {1} não está definido
The final item that will be produced using this BOM.,O item final que será produzido usando esta BOM.
The first Approver in the list will be set as the default Approver.,O primeiro aprovador da lista será definido como o aprovador padrão.
The fiscal year has been automatically created in a Disabled state to maintain consistency with the previous fiscal year's status.,O ano fiscal foi criado automaticamente no estado Desativado para manter a consistência com o status do ano fiscal anterior.
The folio numbers are not matching,Os números das páginas não correspondem
"The following Items, having Putaway Rules, could not be accomodated:","Os seguintes itens, tendo regras de armazenamento, não puderam ser acomodados:"
The following Purchase Invoices are not submitted:,As seguintes faturas de compra não são enviadas:
The following assets have failed to automatically post depreciation entries: {0},Os seguintes ativos não lançaram automaticamente entradas de depreciação: {0}
"The following batches are expired, please restock them: <br> {0}",Os seguintes lotes expiraram. Reabasteça-os: <br> {0}
The following cancelled repost entries exist for <b>{0}</b>:<br><br>{1}<br><br>Kindly delete these entries before continuing.,Existem as seguintes entradas de repostagens canceladas para <b>{0}</b>:<br><br>{1}<br><br>Exclua essas entradas antes de continuar.
The following deleted attributes exist in Variants but not in the Template. You can either delete the Variants or keep the attribute(s) in template.,"Os seguintes atributos excluídos existem nas variantes, mas não no modelo. Você pode excluir as variantes ou manter o(s) atributo(s) no modelo."
The following invalid Pricing Rules are deleted:,As seguintes regras de precificação inválidas foram excluídas:
The following payment schedule(s) already exist:|||{0},Os seguintes calendários de pagamento já existem:|||{0}
The following rows are duplicates:,As seguintes linhas são duplicadas:
The gross weight of the package. Usually net weight + packaging material weight. (for print),O peso bruto do pacote. Geralmente peso líquido + peso do material de embalagem. (para impressão)
The item {item} is not marked as {type_of} item. You can enable it as {type_of} item from its Item master.,O item {item} não está marcado como item {type_of}. Você pode habilitá-lo como item {type_of} em seu mestre de itens.
